maneuver,maneuver_type,scenario,label,uses_suspension_api,apply_policy,schedule_type,collisions,nan_count,actor_ids,actor_id_changed,apply_count,verify_count,command_change_count,readback_change_count,readback_mismatch_count,immediate_mismatch_count,apply_latency_failure_count,mean_apply_latency_ticks,max_apply_latency_ticks,max_readback_spring_scale_error,max_readback_damper_scale_error,peak_abs_roll,peak_abs_pitch,peak_abs_yaw_rate,peak_abs_lateral_acc,rms_roll,rms_pitch,rms_yaw_rate,rms_lateral_acc,final_position_diff_vs_stock,final_speed_diff_vs_stock,final_roll_diff_vs_stock,final_pitch_diff_vs_stock,final_yaw_rate_diff_vs_stock,final_lateral_acc_diff_vs_stock,max_position_diff_vs_stock,rms_position_diff_vs_stock,max_speed_diff_vs_stock,rms_speed_diff_vs_stock,max_roll_diff_vs_stock,rms_roll_diff_vs_stock,max_pitch_diff_vs_stock,rms_pitch_diff_vs_stock,max_yaw_rate_diff_vs_stock,rms_yaw_rate_diff_vs_stock,max_lateral_acc_diff_vs_stock,rms_lateral_acc_diff_vs_stock,final_position_diff_vs_identity,final_speed_diff_vs_identity,final_roll_diff_vs_identity,final_pitch_diff_vs_identity,final_yaw_rate_diff_vs_identity,final_lateral_acc_diff_vs_identity,max_position_diff_vs_identity,rms_position_diff_vs_identity,max_speed_diff_vs_identity,rms_speed_diff_vs_identity,max_roll_diff_vs_identity,rms_roll_diff_vs_identity,max_pitch_diff_vs_identity,rms_pitch_diff_vs_identity,max_yaw_rate_diff_vs_identity,rms_yaw_rate_diff_vs_identity,max_lateral_acc_diff_vs_identity,rms_lateral_acc_diff_vs_identity,max_position_diff_post_switch_vs_identity,rms_position_diff_post_switch_vs_identity,max_speed_diff_post_switch_vs_identity,rms_speed_diff_post_switch_vs_identity,max_roll_diff_post_switch_vs_identity,rms_roll_diff_post_switch_vs_identity,max_pitch_diff_post_switch_vs_identity,rms_pitch_diff_post_switch_vs_identity,max_yaw_rate_diff_post_switch_vs_identity,rms_yaw_rate_diff_post_switch_vs_identity,max_lateral_acc_diff_post_switch_vs_identity,rms_lateral_acc_diff_post_switch_vs_identity
straight_brake,straight_brake,R0_stock,R0 stock,False,never,stock,0,0,24,0,0,0,0,0,0,0,0,,,0.0,0.0,6.103565101511776e-05,0.2651684284210205,0.3578287959098816,0.0046575603294517105,7.475994425331547e-06,0.04562899564397913,0.052047439510705125,0.0005785131962068197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straight_brake,straight_brake,R1_identity_every_tick,R1 identity every tick,True,every_tick,constant,0,0,26,0,340,340,0,0,0,0,0,0.0,0,0.0,0.0,6.103565101511776e-05,0.2651684284210205,0.3578287959098816,0.0046575603294517105,7.475994425331547e-06,0.04562899564397913,0.052047439510705125,0.0005785131962068197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straight_brake,straight_brake,R2_step_safe,R2 step safe c=1.00/1.10/0.95/1.00,True,on_change,step,0,0,28,0,4,340,3,3,0,0,0,0.0,0,0.0,3.734857945136838e-08,6.103565101511776e-05,0.25461578369140625,0.3578287959098816,0.0046575603294517105,8.39359547985658e-06,0.0609011025174909,0.05215080387403746,0.0005785799631203912,0.025899534016494783,0.0,3.305040081613697e-06,0.03305128216743469,0.0,0.0,0.026173847288225482,0.021073926772998047,0.03207984036100042,0.006095253206357942,3.305040081613697e-06,2.5986855735293095e-06,0.03305128216743469,0.02583640939407391,0.027050495758885518,0.0032098378826722375,0.00015461880438165376,1.7750586719221795e-05,0.025899534016494783,0.0,3.305040081613697e-06,0.03305128216743469,0.0,0.0,0.026173847288225482,0.021073926772998047,0.03207984036100042,0.006095253206357942,3.305040081613697e-06,2.5986855735293095e-06,0.03305128216743469,0.02583640939407391,0.027050495758885518,0.0032098378826722375,0.00015461880438165376,1.7750586719221795e-05,0.026173847288225482,0.025082989959619755,0.03207984036100042,0.007254802421175261,3.305040081613697e-06,3.0930545052743986e-06,0.03305128216743469,0.0307514780897185,0.027050495758885518,0.003820471251054884,0.00015461880438165376,2.1127424103327614e-05
straight_brake,straight_brake,R3_step_diagnostic,R3 step diagnostic c=1.00/1.20/0.80/1.00,True,on_change,step,0,0,30,0,4,340,3,3,0,0,0,0.0,0,0.0,3.7379904171963574e-08,6.103565101511776e-05,0.2448417842388153,0.3578287959098816,0.0046575603294517105,9.563123731325236e-06,0.06428969850000288,0.053755671602067186,0.0005811434917949067,0.05002103004273448,0.0,5.642914402415045e-06,0.03927358239889145,0.0,0.0,0.05039657688083334,0.04071561661973391,0.06319431446594159,0.011929187087900901,5.642914402415045e-06,4.451749339091354e-06,0.03927358239889145,0.030789560907696904,0.11195398878771812,0.01337094034125935,0.0004310876457462935,5.646731312649713e-05,0.05002103004273448,0.0,5.642914402415045e-06,0.03927358239889145,0.0,0.0,0.05039657688083334,0.04071561661973391,0.06319431446594159,0.011929187087900901,5.642914402415045e-06,4.451749339091354e-06,0.03927358239889145,0.030789560907696904,0.11195398878771812,0.01337094034125935,0.0004310876457462935,5.646731312649713e-05,0.05039657688083334,0.04846127700230325,0.06319431446594159,0.014198572633156964,5.642914402415045e-06,5.298641547822306e-06,0.03927358239889145,0.036646907594763044,0.11195398878771812,0.015914602244903327,0.0004310876457462935,6.720954587416624e-05
straight_brake,straight_brake,R4_ramp_safe,R4 ramp safe c=1.00->1.10->0.95->1.00,True,every_tick,ramp_safe,0,0,32,0,340,340,239,239,0,8,0,0.023529411764705882,1,0.0,4.66857243974772e-08,6.103565101511776e-05,0.2614118158817291,0.3578287959098816,0.0046575603294517105,7.796773168284007e-06,0.04461572413612445,0.05204743066361133,0.0005785117041809655,0.0024662247459387586,0.0,1.5683090168749914e-06,0.0026501137763261795,0.0,0.0,0.0024738729780368774,0.001997677054737246,0.005614831905495277,0.000718253848558789,1.5683090168749914e-06,1.2368398792529438e-06,0.003756612539291382,0.0021268847285371272,0.00040623101813253015,4.424520037873574e-05,9.907365851609802e-06,1.3713342912285338e-06,0.0024662247459387586,0.0,1.5683090168749914e-06,0.0026501137763261795,0.0,0.0,0.0024738729780368774,0.001997677054737246,0.005614831905495277,0.000718253848558789,1.5683090168749914e-06,1.2368398792529438e-06,0.003756612539291382,0.0021268847285371272,0.00040623101813253015,4.424520037873574e-05,9.907365851609802e-06,1.3713342912285338e-06,0.0024738729780368774,0.0023777112849580535,0.005614831905495277,0.0008548930755013411,1.5683090168749914e-06,1.4721339125420797e-06,0.003756612539291382,0.002531499177434781,0.00040623101813253015,5.266232196854638e-05,9.907365851609802e-06,1.6322142820691852e-06
constant_steer_0.20,constant_steer,R0_stock,R0 stock,False,never,stock,0,0,34,0,0,0,0,0,0,0,0,,,0.0,0.0,0.074371337890625,0.17597980797290802,3.6639814376831055,0.7700964277823439,0.014704145533197073,0.022458780854489616,2.7295804557310013,0.22248005259751805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constant_steer_0.20,constant_steer,R1_identity_every_tick,R1 identity every tick,True,every_tick,constant,0,0,36,0,340,340,0,0,0,0,0,0.0,0,0.0,0.0,0.074371337890625,0.17597980797290802,3.6639814376831055,0.7700964277823439,0.014704145533197073,0.022458780854489616,2.7295804557310013,0.22248005259751805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constant_steer_0.20,constant_steer,R2_step_safe,R2 step safe c=1.00/1.10/0.95/1.00,True,on_change,step,0,0,38,0,4,340,3,3,0,0,0,0.0,0,0.0,3.734857945136838e-08,0.074371337890625,0.17597980797290802,3.521684169769287,0.7700964277823439,0.014875928089456557,0.022463402012861674,2.745673858290317,0.2283406258173733,0.060715792970099776,0.002516513765973505,0.0018615713343024254,0.0060037358198314905,0.21184468269348145,0.027569077429018263,0.17778688729130968,0.09632124164283604,0.11978817611712023,0.030368277157021513,0.008697513025254011,0.0021200844805380854,0.022730867844074965,0.004997141849434429,1.2704439163208008,0.31656796341953525,0.3282667435590845,0.058890799324041336,0.060715792970099776,0.002516513765973505,0.0018615713343024254,0.0060037358198314905,0.21184468269348145,0.027569077429018263,0.17778688729130968,0.09632124164283604,0.11978817611712023,0.030368277157021513,0.008697513025254011,0.0021200844805380854,0.022730867844074965,0.004997141849434429,1.2704439163208008,0.31656796341953525,0.3282667435590845,0.058890799324041336,0.17778688729130968,0.11464520889011579,0.11978817611712023,0.03614547963583698,0.008697513025254011,0.002523405263371197,0.022730867844074965,0.005947788477502038,1.2704439163208008,0.3767912422550303,0.3282667435590845,0.07009407141205347
constant_steer_0.20,constant_steer,R3_step_diagnostic,R3 step diagnostic c=1.00/1.20/0.80/1.00,True,on_change,step,0,0,40,0,4,340,3,3,0,0,0,0.0,0,0.0,3.7379904171963574e-08,0.074371337890625,0.17597980797290802,4.1954779624938965,0.7700964277823439,0.014604949235984061,0.023041433226190247,2.71971867843393,0.19763507493020202,0.23382576291706195,0.07000880290694922,0.0003662118688225746,0.00549147161655128,1.9907032251358032,0.1344852113949611,0.34322204602849915,0.16069982895482368,0.17080210313784727,0.06957812351977785,0.011932373978197575,0.004030379945740098,0.023482188815250993,0.007095330362199944,2.0561320781707764,0.7254127323484414,0.5651620977527723,0.32326139712934165,0.23382576291706195,0.07000880290694922,0.0003662118688225746,0.00549147161655128,1.9907032251358032,0.1344852113949611,0.34322204602849915,0.16069982895482368,0.17080210313784727,0.06957812351977785,0.011932373978197575,0.004030379945740098,0.023482188815250993,0.007095330362199944,2.0561320781707764,0.7254127323484414,0.5651620977527723,0.32326139712934165,0.34322204602849915,0.1912710544933252,0.17080210313784727,0.08281453155146791,0.011932373978197575,0.004797111653722887,0.023482188815250993,0.008445132326419653,2.0561320781707764,0.8634138515366842,0.5651620977527723,0.3847580218849934
constant_steer_0.20,constant_steer,R4_ramp_safe,R4 ramp safe c=1.00->1.10->0.95->1.00,True,every_tick,ramp_safe,0,0,42,0,340,340,239,239,0,10,0,0.029411764705882353,1,0.0,4.66857243974772e-08,0.074371337890625,0.17597980797290802,3.6433024406433105,0.7700964277823439,0.014763431131027575,0.02235734530764695,2.740073800222868,0.22686755137654208,0.03501718045612155,0.021915195567878687,0.00033569149672985077,0.004398641423904337,0.2523348331451416,0.07208154266604616,0.1521836553120943,0.07357089283774561,0.09117222114588963,0.0258410339091723,0.007568362168967724,0.0017592391040087176,0.022150301840156317,0.0041580399454129585,1.1909534931182861,0.3226416937840846,0.3247028491285262,0.05991815293802226,0.03501718045612155,0.021915195567878687,0.00033569149672985077,0.004398641423904337,0.2523348331451416,0.07208154266604616,0.1521836553120943,0.07357089283774561,0.09117222114588963,0.0258410339091723,0.007568362168967724,0.0017592391040087176,0.022150301840156317,0.0041580399454129585,1.1909534931182861,0.3226416937840846,0.3247028491285262,0.05991815293802226,0.1521836553120943,0.087566877604126,0.09117222114588963,0.03075698236365047,0.007568362168967724,0.0020939133583286846,0.022150301840156317,0.004949057445531477,1.1909534931182861,0.38402042737047976,0.3247028491285262,0.07131686679622841
