wall_time,scenario,label,event,frame,actor_id,type_id,role_name,spring_scale,damper_scale,apply_count,verify_count,message
1779189714.984250,T1_identity,T1 identity,connected,,,,,1,1,,,connected to CARLA
1779189715.007431,T1_identity,T1 identity,waiting_for_vehicle,2752,,,,1,1,,,no matching vehicle found
1779189721.684321,T1_identity,T1 identity,runtime_error,,,,,1,1,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779189722.685572,T1_identity,T1 identity,waiting_for_vehicle,2854,,,,1,1,,,no matching vehicle found
1779189727.855448,T1_identity,T1 identity,waiting_for_vehicle,2858,,,,1,1,,,no matching vehicle found
1779189728.229977,T1_identity,T1 identity,native_captured,2859,493,vehicle.lincoln.mkz_2020,hero,1,1,0,0,captured native suspension
1779189728.230035,T1_identity,T1 identity,static_applied,2859,493,vehicle.lincoln.mkz_2020,hero,1,1,1,0,applied static suspension command
1779189728.450713,T1_identity,T1 identity,static_verified,2859,493,vehicle.lincoln.mkz_2020,hero,1,1,1,1,readback matched static command
1779189733.460155,T1_identity,T1 identity,runtime_error,,,,,1,1,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779189748.677262,T1_identity,T1 identity,static_verified,2908,493,vehicle.lincoln.mkz_2020,hero,1,1,1,2,readback matched static command
1779189761.618408,T1_identity,T1 identity,static_verified,2958,493,vehicle.lincoln.mkz_2020,hero,1,1,1,3,readback matched static command
1779189775.109511,T1_identity,T1 identity,static_verified,3008,493,vehicle.lincoln.mkz_2020,hero,1,1,1,4,readback matched static command
1779189788.760720,T1_identity,T1 identity,static_verified,3058,493,vehicle.lincoln.mkz_2020,hero,1,1,1,5,readback matched static command
1779189801.863776,T1_identity,T1 identity,static_verified,3108,493,vehicle.lincoln.mkz_2020,hero,1,1,1,6,readback matched static command
1779189815.508430,T1_identity,T1 identity,static_verified,3158,493,vehicle.lincoln.mkz_2020,hero,1,1,1,7,readback matched static command
1779189830.222480,T1_identity,T1 identity,static_verified,3208,493,vehicle.lincoln.mkz_2020,hero,1,1,1,8,readback matched static command
1779189845.098148,T1_identity,T1 identity,static_verified,3258,493,vehicle.lincoln.mkz_2020,hero,1,1,1,9,readback matched static command
1779189860.452199,T1_identity,T1 identity,static_verified,3308,493,vehicle.lincoln.mkz_2020,hero,1,1,1,10,readback matched static command
1779189875.548949,T1_identity,T1 identity,static_verified,3358,493,vehicle.lincoln.mkz_2020,hero,1,1,1,11,readback matched static command
