wall_time,scenario,label,event,frame,actor_id,type_id,role_name,spring_scale,damper_scale,apply_count,verify_count,message
1779190256.496289,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),connected,,,,,1.05,1.02469508,,,connected to CARLA
1779190256.514321,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),waiting_for_vehicle,5131,,,,1.05,1.02469508,,,no matching vehicle found
1779190262.946131,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),runtime_error,,,,,1.05,1.02469508,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779190263.946542,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),waiting_for_vehicle,5218,,,,1.05,1.02469508,,,no matching vehicle found
1779190269.313140,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),waiting_for_vehicle,5222,,,,1.05,1.02469508,,,no matching vehicle found
1779190269.691846,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),native_captured,5223,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,0,0,captured native suspension
1779190269.691893,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_applied,5223,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,0,applied static suspension command
1779190269.692256,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_verified,5223,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,1,readback matched static command
1779190274.924670,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),runtime_error,,,,,1.05,1.02469508,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779190280.926659,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),runtime_error,,,,,1.05,1.02469508,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779190293.931359,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_verified,5282,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,2,readback matched static command
1779190306.877058,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_verified,5332,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,3,readback matched static command
1779190320.649924,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_verified,5382,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,4,readback matched static command
1779190334.419503,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_verified,5432,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,5,readback matched static command
1779190347.672304,T2_k1.05_csqrt,T2 k=1.05 c=sqrt(1.05),static_verified,5482,848,vehicle.lincoln.mkz_2020,hero,1.05,1.02469508,1,6,readback matched static command
