wall_time,scenario,label,event,frame,actor_id,type_id,role_name,spring_scale,damper_scale,apply_count,verify_count,message
1779191892.543725,T5_k1.00_c1.10,T5 k=1.00 c=1.10,connected,,,,,1,1.1,,,connected to CARLA
1779191892.564714,T5_k1.00_c1.10,T5 k=1.00 c=1.10,waiting_for_vehicle,12206,,,,1,1.1,,,no matching vehicle found
1779191898.948620,T5_k1.00_c1.10,T5 k=1.00 c=1.10,runtime_error,,,,,1,1.1,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779191899.949543,T5_k1.00_c1.10,T5 k=1.00 c=1.10,waiting_for_vehicle,12291,,,,1,1.1,,,no matching vehicle found
1779191905.286548,T5_k1.00_c1.10,T5 k=1.00 c=1.10,waiting_for_vehicle,12295,,,,1,1.1,,,no matching vehicle found
1779191905.658255,T5_k1.00_c1.10,T5 k=1.00 c=1.10,native_captured,12296,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,0,0,captured native suspension
1779191905.658297,T5_k1.00_c1.10,T5 k=1.00 c=1.10,static_applied,12296,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,1,0,applied static suspension command
1779191905.658911,T5_k1.00_c1.10,T5 k=1.00 c=1.10,static_verified,12296,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,1,1,readback matched static command
1779191910.678794,T5_k1.00_c1.10,T5 k=1.00 c=1.10,runtime_error,,,,,1,1.1,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779191916.680150,T5_k1.00_c1.10,T5 k=1.00 c=1.10,runtime_error,,,,,1,1.1,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779191929.528558,T5_k1.00_c1.10,T5 k=1.00 c=1.10,static_verified,12355,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,1,2,readback matched static command
1779191942.774314,T5_k1.00_c1.10,T5 k=1.00 c=1.10,static_verified,12405,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,1,3,readback matched static command
1779191956.492025,T5_k1.00_c1.10,T5 k=1.00 c=1.10,static_verified,12455,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,1,4,readback matched static command
1779191970.274554,T5_k1.00_c1.10,T5 k=1.00 c=1.10,static_verified,12505,1913,vehicle.lincoln.mkz_2020,hero,1,1.1,1,5,readback matched static command
